Length, State, Count
2,Majority and Minority Group Esalating,16117
2,Majority Group Esalating / Minority Group Not,18440
2,Minority Group Esalating / Majority Group Not,28697
3,Minority Group Esalating / Majority Group Not,11670
3,Majority and Minority Group Esalating,5968
3,Majority Group Esalating / Minority Group Not,6420
4,Majority and Minority Group Esalating,2285
4,Majority Group Esalating / Minority Group Not,2150
4,Minority Group Esalating / Majority Group Not,4552
5,Majority and Minority Group Esalating,1094
5,Majority Group Esalating / Minority Group Not,775
5,Minority Group Esalating / Majority Group Not,1738
6,Majority and Minority Group Esalating,519
6,Majority Group Esalating / Minority Group Not,243
6,Minority Group Esalating / Majority Group Not,849
7,Majority and Minority Group Esalating,153
7,Majority Group Esalating / Minority Group Not,103
7,Minority Group Esalating / Majority Group Not,420
8,Majority and Minority Group Esalating,66
8,Majority Group Esalating / Minority Group Not,20
8,Minority Group Esalating / Majority Group Not,115
9,Majority and Minority Group Esalating,27
9,Majority Group Esalating / Minority Group Not,12
9,Minority Group Esalating / Majority Group Not,14
