Year,Number.Of.Incidents,Group.Id,Type.of.Incident
1969,7,Protestant/Loyalist,Death
1970,9,Protestant/Loyalist,Death
1971,42,Protestant/Loyalist,Death
1972,125,Protestant/Loyalist,Death
1973,81,Protestant/Loyalist,Death
1974,75,Protestant/Loyalist,Death
1975,117,Protestant/Loyalist,Death
1976,125,Protestant/Loyalist,Death
1977,51,Protestant/Loyalist,Death
1978,43,Protestant/Loyalist,Death
1979,45,Protestant/Loyalist,Death
1980,42,Protestant/Loyalist,Death
1981,52,Protestant/Loyalist,Death
1982,42,Protestant/Loyalist,Death
1983,43,Protestant/Loyalist,Death
1984,25,Protestant/Loyalist,Death
1985,27,Protestant/Loyalist,Death
1986,31,Protestant/Loyalist,Death
1987,46,Protestant/Loyalist,Death
1988,36,Protestant/Loyalist,Death
1989,26,Protestant/Loyalist,Death
1990,37,Protestant/Loyalist,Death
1991,37,Protestant/Loyalist,Death
1992,24,Protestant/Loyalist,Death
1993,29,Protestant/Loyalist,Death
1994,26,Protestant/Loyalist,Death
1995,2,Protestant/Loyalist,Death
1996,4,Protestant/Loyalist,Death
1997,10,Protestant/Loyalist,Death
1998,16,Protestant/Loyalist,Death
1999,2,Protestant/Loyalist,Death
2000,14,Protestant/Loyalist,Death
2001,8,Protestant/Loyalist,Death
2002,7,Protestant/Loyalist,Death
2003,10,Protestant/Loyalist,Death
2004,0,Protestant/Loyalist,Death
2005,3,Protestant/Loyalist,Death
1969,10,Catholic/Republican,Death
1970,15,Catholic/Republican,Death
1971,84,Catholic/Republican,Death
1972,251,Catholic/Republican,Death
1973,111,Catholic/Republican,Death
1974,127,Catholic/Republican,Death
1975,142,Catholic/Republican,Death
1976,124,Catholic/Republican,Death
1977,43,Catholic/Republican,Death
1978,27,Catholic/Republican,Death
1979,28,Catholic/Republican,Death
1980,23,Catholic/Republican,Death
1981,49,Catholic/Republican,Death
1982,34,Catholic/Republican,Death
1983,30,Catholic/Republican,Death
1984,31,Catholic/Republican,Death
1985,26,Catholic/Republican,Death
1986,25,Catholic/Republican,Death
1987,42,Catholic/Republican,Death
1988,40,Catholic/Republican,Death
1989,25,Catholic/Republican,Death
1990,32,Catholic/Republican,Death
1991,49,Catholic/Republican,Death
1992,58,Catholic/Republican,Death
1993,48,Catholic/Republican,Death
1994,37,Catholic/Republican,Death
1995,6,Catholic/Republican,Death
1996,11,Catholic/Republican,Death
1997,8,Catholic/Republican,Death
1998,33,Catholic/Republican,Death
1999,6,Catholic/Republican,Death
2000,5,Catholic/Republican,Death
2001,6,Catholic/Republican,Death
2002,4,Catholic/Republican,Death
2003,3,Catholic/Republican,Death
2004,0,Catholic/Republican,Death
2005,0,Catholic/Republican,Death
1973,21,Protestant/Loyalist,Shooting Victim
1974,43,Protestant/Loyalist,Shooting Victim
1975,50,Protestant/Loyalist,Shooting Victim
1976,36,Protestant/Loyalist,Shooting Victim
1977,28,Protestant/Loyalist,Shooting Victim
1978,17,Protestant/Loyalist,Shooting Victim
1979,25,Protestant/Loyalist,Shooting Victim
1980,26,Protestant/Loyalist,Shooting Victim
1981,14,Protestant/Loyalist,Shooting Victim
1982,22,Protestant/Loyalist,Shooting Victim
1983,9,Protestant/Loyalist,Shooting Victim
1984,6,Protestant/Loyalist,Shooting Victim
1985,11,Protestant/Loyalist,Shooting Victim
1986,24,Protestant/Loyalist,Shooting Victim
1987,67,Protestant/Loyalist,Shooting Victim
1988,34,Protestant/Loyalist,Shooting Victim
1989,65,Protestant/Loyalist,Shooting Victim
1990,60,Protestant/Loyalist,Shooting Victim
1991,40,Protestant/Loyalist,Shooting Victim
1992,72,Protestant/Loyalist,Shooting Victim
1993,60,Protestant/Loyalist,Shooting Victim
1994,68,Protestant/Loyalist,Shooting Victim
1995,3,Protestant/Loyalist,Shooting Victim
1996,21,Protestant/Loyalist,Shooting Victim
1997,46,Protestant/Loyalist,Shooting Victim
1998,34,Protestant/Loyalist,Shooting Victim
1999,47,Protestant/Loyalist,Shooting Victim
2000,86,Protestant/Loyalist,Shooting Victim
2001,121,Protestant/Loyalist,Shooting Victim
2002,117,Protestant/Loyalist,Shooting Victim
2003,101,Protestant/Loyalist,Shooting Victim
2004,89,Protestant/Loyalist,Shooting Victim
2005,74,Protestant/Loyalist,Shooting Victim
1973,53,Catholic/Republican,Shooting Victim
1974,84,Catholic/Republican,Shooting Victim
1975,139,Catholic/Republican,Shooting Victim
1976,62,Catholic/Republican,Shooting Victim
1977,98,Catholic/Republican,Shooting Victim
1978,50,Catholic/Republican,Shooting Victim
1979,51,Catholic/Republican,Shooting Victim
1980,51,Catholic/Republican,Shooting Victim
1981,66,Catholic/Republican,Shooting Victim
1982,59,Catholic/Republican,Shooting Victim
1983,22,Catholic/Republican,Shooting Victim
1984,20,Catholic/Republican,Shooting Victim
1985,21,Catholic/Republican,Shooting Victim
1986,17,Catholic/Republican,Shooting Victim
1987,57,Catholic/Republican,Shooting Victim
1988,32,Catholic/Republican,Shooting Victim
1989,96,Catholic/Republican,Shooting Victim
1990,46,Catholic/Republican,Shooting Victim
1991,36,Catholic/Republican,Shooting Victim
1992,61,Catholic/Republican,Shooting Victim
1993,25,Catholic/Republican,Shooting Victim
1994,54,Catholic/Republican,Shooting Victim
1995,0,Catholic/Republican,Shooting Victim
1996,3,Catholic/Republican,Shooting Victim
1997,26,Catholic/Republican,Shooting Victim
1998,38,Catholic/Republican,Shooting Victim
1999,26,Catholic/Republican,Shooting Victim
2000,50,Catholic/Republican,Shooting Victim
2001,65,Catholic/Republican,Shooting Victim
2002,56,Catholic/Republican,Shooting Victim
2003,55,Catholic/Republican,Shooting Victim
2004,23,Catholic/Republican,Shooting Victim
2005,11,Catholic/Republican,Shooting Victim
