Time,Measure,GroupId,Value
0,Violence,Majority Group,0.038
2,Violence,Majority Group,0.12
4,Violence,Majority Group,0.156
6,Violence,Majority Group,0.22
8,Violence,Majority Group,0.232
10,Violence,Majority Group,0.242
12,Violence,Majority Group,0.242
14,Violence,Majority Group,0.24
16,Violence,Majority Group,0.24
18,Violence,Majority Group,0.244
20,Violence,Majority Group,0.244
22,Violence,Majority Group,0.246
24,Violence,Majority Group,0.245
26,Violence,Majority Group,0.244
28,Violence,Majority Group,0.243
30,Violence,Majority Group,0.241
32,Violence,Majority Group,0.24
34,Violence,Majority Group,0.239
36,Violence,Majority Group,0.238
38,Violence,Majority Group,0.237
40,Violence,Majority Group,0.235
42,Violence,Majority Group,0.234
44,Violence,Majority Group,0.233
46,Violence,Majority Group,0.232
48,Violence,Majority Group,0.231
50,Violence,Majority Group,0.23
52,Violence,Majority Group,0.228
54,Violence,Majority Group,0.227
56,Violence,Majority Group,0.226
58,Violence,Majority Group,0.225
60,Violence,Majority Group,0.224
62,Violence,Majority Group,0.223
64,Violence,Majority Group,0.222
66,Violence,Majority Group,0.221
68,Violence,Majority Group,0.22
70,Violence,Majority Group,0.219
72,Violence,Majority Group,0.218
74,Violence,Majority Group,0.217
76,Violence,Majority Group,0.216
78,Violence,Majority Group,0.215
80,Violence,Majority Group,0.214
82,Violence,Majority Group,0.213
84,Violence,Majority Group,0.212
86,Violence,Majority Group,0.211
88,Violence,Majority Group,0.21
90,Violence,Majority Group,0.209
92,Violence,Majority Group,0.208
94,Violence,Majority Group,0.208
96,Violence,Majority Group,0.207
98,Violence,Majority Group,0.206
100,Violence,Majority Group,0.206
102,Violence,Majority Group,0.21
104,Violence,Majority Group,0.227
106,Violence,Majority Group,0.247
108,Violence,Majority Group,0.258
110,Violence,Majority Group,0.261
112,Violence,Majority Group,0.261
114,Violence,Majority Group,0.261
116,Violence,Majority Group,0.259
118,Violence,Majority Group,0.258
120,Violence,Majority Group,0.256
122,Violence,Majority Group,0.255
124,Violence,Majority Group,0.255
126,Violence,Majority Group,0.253
128,Violence,Majority Group,0.252
130,Violence,Majority Group,0.252
132,Violence,Majority Group,0.252
134,Violence,Majority Group,0.259
136,Violence,Majority Group,0.26
138,Violence,Majority Group,0.259
140,Violence,Majority Group,0.258
142,Violence,Majority Group,0.26
144,Violence,Majority Group,0.26
146,Violence,Majority Group,0.262
148,Violence,Majority Group,0.261
150,Violence,Majority Group,0.26
1,Violence,Minority Group,0.05
3,Violence,Minority Group,0.134
5,Violence,Minority Group,0.167
7,Violence,Minority Group,0.217
9,Violence,Minority Group,0.226
11,Violence,Minority Group,0.238
13,Violence,Minority Group,0.24
15,Violence,Minority Group,0.24
17,Violence,Minority Group,0.241
19,Violence,Minority Group,0.241
21,Violence,Minority Group,0.242
23,Violence,Minority Group,0.246
25,Violence,Minority Group,0.246
27,Violence,Minority Group,0.245
29,Violence,Minority Group,0.244
31,Violence,Minority Group,0.242
33,Violence,Minority Group,0.24
35,Violence,Minority Group,0.239
37,Violence,Minority Group,0.237
39,Violence,Minority Group,0.235
41,Violence,Minority Group,0.235
43,Violence,Minority Group,0.233
45,Violence,Minority Group,0.232
47,Violence,Minority Group,0.231
49,Violence,Minority Group,0.23
51,Violence,Minority Group,0.228
53,Violence,Minority Group,0.227
55,Violence,Minority Group,0.225
57,Violence,Minority Group,0.224
59,Violence,Minority Group,0.223
61,Violence,Minority Group,0.221
63,Violence,Minority Group,0.22
65,Violence,Minority Group,0.219
67,Violence,Minority Group,0.218
69,Violence,Minority Group,0.216
71,Violence,Minority Group,0.215
73,Violence,Minority Group,0.214
75,Violence,Minority Group,0.212
77,Violence,Minority Group,0.211
79,Violence,Minority Group,0.21
81,Violence,Minority Group,0.209
83,Violence,Minority Group,0.208
85,Violence,Minority Group,0.207
87,Violence,Minority Group,0.205
89,Violence,Minority Group,0.204
91,Violence,Minority Group,0.203
93,Violence,Minority Group,0.202
95,Violence,Minority Group,0.201
97,Violence,Minority Group,0.2
99,Violence,Minority Group,0.199
101,Violence,Minority Group,0.202
103,Violence,Minority Group,0.217
105,Violence,Minority Group,0.235
107,Violence,Minority Group,0.243
109,Violence,Minority Group,0.246
111,Violence,Minority Group,0.245
113,Violence,Minority Group,0.244
115,Violence,Minority Group,0.243
117,Violence,Minority Group,0.242
119,Violence,Minority Group,0.241
121,Violence,Minority Group,0.24
123,Violence,Minority Group,0.245
125,Violence,Minority Group,0.252
127,Violence,Minority Group,0.251
129,Violence,Minority Group,0.25
131,Violence,Minority Group,0.25
133,Violence,Minority Group,0.249
135,Violence,Minority Group,0.25
137,Violence,Minority Group,0.252
139,Violence,Minority Group,0.252
141,Violence,Minority Group,0.25
143,Violence,Minority Group,0.249
145,Violence,Minority Group,0.248
147,Violence,Minority Group,0.247
149,Violence,Minority Group,0.246
