Length,Score,Condition
2,0.375625398,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
3,0.384933835,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
4,0.402029378,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
5,0.429054107,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
6,0.509218736,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
7,0.637118248,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
8,0.774596669,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
9,1,(Prct of Agentsin the Majority Group LT 70) AND (Contagion Hazard Intensity GT Contagion Hazard Threshold) AND (Social Hazard Intensity GT Social Hazard Threshold)
2,0.158348495,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
3,0.224791229,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
4,0.16534934,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
5,0.121184419,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
6,0.086642622,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
7,0.130665589,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
8,0.074226962,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
9,0.120665589,(Prct of Agents in Majority Group LT 70) AND (Natural Hazard Intensity GT Natural Hazard Threshold) AND (Predation Hazard Intensity GT Predation Hazard Threshold)
2,0.29807156,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
3,0.498063421,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
4,0.504238186,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
5,0.550726012,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
6,0.567591534,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
7,0.475742957,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
8,0.573025487,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
9,0.713746427,(Prct of Agents in Majority Group LT 70) OR (Contagion Hazard Intensity GT Contagion Hazard Threshold) OR (Social Hazard Intensity GT Social Hazard Threshold)
